gnd,age,ht,wt,wa,hdln,hdwd,ftln,ftwd,bld,lft,smk,alc
F,NA,157.9,57.5,76.2,17.5,7.8,24.6,9.6,B,0,0,0
M,24,184.4,91,90.6,18.8,9,26.3,10.8,B,0,0,0
F,60,148.8,57.3,86.2,17.2,7.6,23.6,9.4,B,0,1,0
F,17,160.5,63.3,75.2,16.3,7.1,22.6,9,B,0,0,0
F,34,164.5,73.8,83.9,17.9,7.7,24.3,9.6,A,0,0,0
F,19,168.1,95.1,102,17.2,7.3,24.3,9,B,0,0,0
M,24,175,65.9,75,17.6,7.9,24.5,10,A,0,1,1
F,49,154.5,60.4,80.5,16.2,7.2,22.7,9.3,B,0,0,0
F,20,168.6,54.2,71,17.2,7.5,23.9,8.8,O,0,0,0
M,20,173,59.5,69.1,17.8,7.9,25.8,9.6,A,0,0,0
M,38,173.8,71,85.1,18.9,8.5,27.1,10,B,0,0,0
M,23,183,78.5,84,20.8,8.3,27.3,10.7,B,0,0,0
M,34,169.8,71,82,19.3,8,25.5,10.7,O,0,1,0
F,NA,152.8,58,77.5,15.5,7,22.3,9.5,A,0,1,0
F,29,157.1,47.3,68.5,16.9,6.8,23.2,9.1,A,0,0,0
F,47,157.3,53.2,73.5,16.7,7.4,23.2,9.6,B,0,0,0
F,16,159.6,52.4,70.3,16.9,7.2,23.4,9.2,A,0,0,0
M,20,175.6,58.3,72,18.2,7.7,24.9,10.5,O,0,0,1
M,19,171.1,51.8,67.4,17.8,7.7,23.7,8.3,O,0,0,0
F,35,151.5,63.4,83.6,16.3,8,23.6,10,A,0,0,0
M,22,171.6,73.9,86.3,17.8,8.2,25.4,10.1,B,0,1,0
M,25,180,71.1,76.5,18.4,8.2,25.5,10,A,0,1,0
M,20,175.1,75.3,82.2,19.4,8.1,26.8,9.8,A,0,0,0
F,38,158.1,47.3,71.6,16.5,7.5,22.2,9,B,0,0,0
M,31,173.8,91.3,99,18,8.8,25.2,10.7,AB,0,0,0
M,15,169.7,58.3,71,17.2,7.8,24.8,10,O,0,0,0
M,17,168.9,63.1,77.1,18.7,7.6,26.1,9.8,B,0,1,0
F,34,162,NA,86.2,17.1,7.3,24.1,9.1,B,0,1,0
F,45,160.5,57.9,76,17.4,7.6,23.5,8.9,B,0,0,0
M,20,177.6,84.8,88.5,18.7,8.5,26.1,10.5,B,0,0,0
M,17,175.8,59,67,18.4,7.9,25.2,9.6,B,0,0,0
F,20,165.4,56.6,71.6,16.9,7.4,23.7,9.4,A,0,0,0
F,33,153.2,47.1,67,16.7,7.4,22.6,9.2,A,0,0,0
F,31,156.3,56.1,71.5,16,7,22.6,9.6,A,0,0,0
M,19,167.1,58.2,72.5,17.4,7.8,23.5,9.8,A,0,0,0
M,19,173,79.4,84.5,18.5,7.2,25.9,10,B,0,1,0
F,18,159.6,60.8,73.2,16.9,7.3,24.6,9.4,B,0,0,0
M,16,167.4,52.7,65,17.9,8.1,25.5,NA,B,0,0,0
M,18,175,74.7,78.6,18.1,8.4,25.7,10.6,O,0,0,0
F,20,160.6,48.1,62.5,17.1,7.2,23.3,9.3,B,0,0,0
F,19,157,47,67.4,15.8,7.4,21.9,8.5,A,0,0,1
F,35,157.8,50.5,69.1,16,7.7,22.8,9.7,B,0,0,0
F,34,167.2,84.6,95.1,17.4,8.4,23.7,10.3,A,0,0,0
M,36,172.7,68.6,78.9,18,8.3,25.3,9.9,AB,1,1,1
