gnd,age,ht,wt,wa,hdln,hdwd,ftln,ftwd,bld,lft,smk,alc
F,23,154,51.4,68,16,9,20,9,AB,0,0,0
M,53,169,67,86,18,10.5,25,10,B,0,0,1
M,20,174,75,80,19,11,26,11,B,0,0,1
F,52,155,60,72,17.5,9,25,9.5,AB,0,0,0
